time,sim_t,target_x,target_y,target_z,err_x,err_y,err_z,pid_pitch,pid_roll,pid_thrust,wind_x,wind_y,Kp,Ki,Kd
1776375855.002,1.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375855.437,2.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375855.869,2.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375856.305,2.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375856.739,3.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375857.174,3.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375857.608,4.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375858.040,4.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375858.478,4.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375858.909,5.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375859.345,5.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375859.775,6.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375860.209,6.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375860.643,6.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375861.078,7.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375861.511,7.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375861.947,8.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375862.382,8.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375862.817,8.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375863.251,9.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375863.685,9.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375864.117,10.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375864.550,10.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375864.987,10.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375865.420,11.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375865.854,11.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,2.1,0.9,1.0
1776375866.292,12.0,0.000,0.000,100.000,0.000,0.000,99.922,0.000,0.000,0.700,0.000,0.000,2.1,0.9,1.0
1776375866.722,12.4,0.000,0.000,100.000,0.000,0.000,98.086,0.000,0.000,0.900,0.000,0.000,2.1,0.9,1.0
1776375867.155,12.8,0.000,0.000,100.000,0.000,0.000,93.959,0.000,0.000,0.900,0.000,0.000,2.1,0.9,1.0
1776375867.590,13.2,0.000,0.000,100.000,0.000,0.000,87.718,0.000,0.000,0.900,0.000,0.000,2.1,0.9,1.0
1776375868.026,13.6,0.000,0.000,100.000,0.000,0.000,79.526,0.000,0.000,0.900,0.000,0.000,2.1,0.9,1.0
1776375868.458,14.0,0.000,0.000,100.000,0.000,0.000,69.536,0.000,0.000,0.900,0.000,0.000,2.1,0.9,1.0
1776375868.894,14.4,0.000,0.000,100.000,0.000,0.000,57.887,0.000,0.000,0.900,0.000,0.000,2.1,0.9,1.0
1776375869.326,14.8,0.000,0.000,100.000,0.000,0.000,47.014,0.000,0.000,0.300,0.000,0.000,2.1,0.9,1.0
1776375869.760,15.2,0.000,0.000,100.000,0.000,0.000,38.201,0.000,0.000,0.300,0.000,0.000,2.1,0.9,1.0
1776375870.193,15.6,0.000,0.000,100.000,0.000,0.000,31.266,0.000,0.000,0.362,0.000,0.000,2.1,0.9,1.0
1776375870.627,16.0,0.000,0.000,100.000,0.000,0.000,25.657,0.000,0.000,0.323,0.000,0.000,2.1,0.9,1.0
1776375871.066,16.4,0.000,0.000,100.000,0.000,0.000,21.036,0.000,0.000,0.300,0.000,0.000,2.1,0.9,1.0
1776375871.501,16.8,0.000,0.000,100.000,0.000,0.000,17.243,0.000,0.000,0.300,0.000,0.000,2.1,0.9,1.0
1776375871.936,17.2,0.000,0.000,100.000,0.000,0.000,14.131,0.000,0.000,0.301,0.000,0.000,2.1,0.9,1.0
1776375872.369,17.6,0.000,0.000,100.000,0.000,0.000,11.559,0.000,0.000,0.363,0.000,0.000,2.1,0.9,1.0
1776375872.805,18.0,0.000,0.000,100.000,0.000,0.000,9.450,0.000,0.000,0.300,0.000,0.000,2.1,0.9,1.0
1776375873.240,18.4,0.000,0.000,100.000,0.000,0.000,7.714,0.000,0.000,0.300,0.000,0.000,2.1,0.9,1.0
1776375873.672,18.8,0.000,0.000,100.000,0.000,0.000,6.322,0.000,0.000,0.300,0.000,0.000,2.1,0.9,1.0
1776375874.104,19.2,0.000,0.000,100.000,0.000,0.000,5.160,0.000,0.000,0.300,0.000,0.000,2.1,0.9,1.0
1776375874.535,19.6,0.000,0.000,100.000,0.000,0.000,4.204,0.000,0.000,0.325,0.000,0.000,2.1,0.9,1.0
1776375874.968,20.0,0.000,0.000,100.000,0.000,0.000,3.421,0.000,0.000,0.316,0.000,0.000,2.1,0.9,1.0
1776375875.401,20.4,0.000,0.000,100.000,0.000,0.000,2.769,0.000,0.000,0.347,0.000,0.000,2.1,0.9,1.0
1776375875.832,20.8,0.000,0.000,100.000,0.000,0.000,2.241,0.000,0.000,0.300,0.000,0.000,2.1,0.9,1.0
1776375876.263,21.2,0.000,0.000,100.000,0.000,0.000,1.812,0.000,0.000,0.300,0.000,0.000,2.1,0.9,1.0
1776375876.698,21.6,0.000,0.000,100.000,0.000,0.000,1.441,0.000,0.000,0.377,0.000,0.000,2.1,0.9,1.0
1776375877.134,22.0,0.000,0.000,100.000,-0.001,-0.026,1.139,0.000,0.000,0.300,0.056,1.278,2.1,0.9,1.0
1776375877.569,22.4,0.000,0.000,100.000,-0.003,-0.075,0.884,-0.011,-0.267,0.300,0.056,1.278,2.1,0.9,1.0
1776375878.002,22.8,0.000,0.000,100.000,-0.004,-0.091,0.726,-0.011,-0.266,0.300,0.056,1.278,2.1,0.9,1.0
1776375878.435,23.2,0.000,0.000,100.000,-0.004,-0.090,0.556,-0.011,-0.266,0.351,0.056,1.278,2.1,0.9,1.0
1776375878.870,23.6,0.000,0.000,100.000,-0.003,-0.081,0.423,-0.011,-0.264,0.300,0.056,1.278,2.1,0.9,1.0
1776375879.304,24.0,0.000,0.000,100.000,-0.003,-0.070,0.319,-0.011,-0.263,0.300,0.056,1.278,2.1,0.9,1.0
1776375879.737,24.4,0.000,0.000,100.000,-0.003,-0.058,0.216,-0.011,-0.262,0.372,0.056,1.278,2.1,0.9,1.0
1776375880.169,24.8,0.000,0.000,100.000,-0.002,-0.048,0.136,-0.011,-0.262,0.300,0.056,1.278,2.1,0.9,1.0
1776375880.606,25.2,0.000,0.000,100.000,-0.002,-0.038,0.065,-0.011,-0.261,0.300,0.056,1.278,2.1,0.9,1.0
1776375881.041,25.6,0.000,0.000,100.000,-0.001,-0.031,0.014,-0.011,-0.260,0.300,0.056,1.278,2.1,0.9,1.0
1776375881.475,26.0,0.000,0.000,100.000,-0.001,-0.024,-0.022,-0.011,-0.260,0.300,0.056,1.278,2.1,0.9,1.0
1776375881.910,26.4,0.000,0.000,100.000,-0.001,-0.019,-0.070,-0.011,-0.260,0.300,0.056,1.278,2.1,0.9,1.0
1776375882.341,26.8,0.000,0.000,100.000,-0.001,-0.015,-0.053,-0.011,-0.259,0.300,0.056,1.278,2.1,0.9,1.0
1776375882.772,27.2,0.000,0.000,100.000,-0.001,-0.012,-0.092,-0.011,-0.259,0.380,0.056,1.278,2.1,0.9,1.0
1776375883.226,27.6,0.000,0.000,100.000,-0.000,-0.009,-0.119,-0.011,-0.259,0.300,0.056,1.278,2.1,0.9,1.0
1776375883.675,28.0,0.000,0.000,100.000,-0.000,-0.007,-0.150,-0.011,-0.259,0.300,0.056,1.278,2.1,0.9,1.0
1776375884.109,28.4,0.000,0.000,100.000,-0.000,-0.006,-0.119,-0.011,-0.259,0.300,0.056,1.278,2.1,0.9,1.0
1776375884.541,28.8,0.000,0.000,100.000,-0.000,-0.004,-0.143,-0.011,-0.259,0.371,0.056,1.278,2.1,0.9,1.0
1776375884.975,29.2,0.000,0.000,100.000,-0.000,-0.003,-0.156,-0.011,-0.259,0.300,0.056,1.278,2.1,0.9,1.0
1776375885.410,29.6,0.000,0.000,100.000,-0.000,-0.003,-0.171,-0.011,-0.259,0.300,0.056,1.278,2.1,0.9,1.0
1776375885.845,30.0,0.000,0.000,100.000,-0.000,-0.002,-0.192,-0.011,-0.259,0.300,0.056,1.278,2.1,0.9,1.0
1776375886.277,30.4,0.000,0.000,100.000,-0.000,-0.002,-0.150,-0.011,-0.259,0.300,0.056,1.278,2.1,0.9,1.0
1776375886.709,30.8,0.000,0.000,100.000,-0.000,-0.001,-0.172,-0.011,-0.259,0.388,0.056,1.278,2.1,0.9,1.0
1776375887.142,31.2,0.000,0.000,100.000,-0.000,-0.001,-0.186,-0.011,-0.259,0.300,0.056,1.278,2.1,0.9,1.0
1776375887.575,31.6,0.000,0.000,100.000,-0.000,-0.001,-0.184,-0.011,-0.259,0.300,0.056,1.278,2.1,0.9,1.0
1776375888.009,32.0,0.000,0.000,100.000,-0.000,-0.001,-0.201,-0.011,-0.259,0.300,0.056,1.278,2.1,0.9,1.0
1776375888.442,32.4,0.000,0.000,100.000,-0.031,-0.011,-0.157,-0.134,-0.301,0.300,0.645,1.477,2.1,0.9,1.0
1776375888.876,32.8,0.000,0.000,100.000,-0.041,-0.015,-0.176,-0.133,-0.301,0.389,0.645,1.477,2.1,0.9,1.0
1776375889.309,33.2,0.000,0.000,100.000,-0.042,-0.015,-0.189,-0.133,-0.301,0.300,0.645,1.477,2.1,0.9,1.0
1776375889.741,33.6,0.000,0.000,100.000,-0.038,-0.014,-0.184,-0.132,-0.301,0.300,0.645,1.477,2.1,0.9,1.0
1776375890.174,34.0,0.000,0.000,100.000,-0.033,-0.012,-0.199,-0.132,-0.301,0.300,0.645,1.477,2.1,0.9,1.0
1776375890.607,34.4,0.000,0.000,100.000,-0.028,-0.010,-0.158,-0.131,-0.301,0.300,0.645,1.477,2.1,0.9,1.0
1776375891.042,34.8,0.000,0.000,100.000,-0.023,-0.008,-0.168,-0.131,-0.300,0.359,0.645,1.477,2.1,0.9,1.0
