time,x,y,z,roll,pitch,thrust,voltage,yaw,state
1776375856.739,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375857.174,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375857.608,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375858.040,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375858.478,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375858.909,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375859.344,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375859.775,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375860.209,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375860.643,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375861.078,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375861.511,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375861.947,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375862.382,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375862.817,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375863.251,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375863.685,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375864.117,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375864.550,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375864.987,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375865.420,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375865.854,0.000,0.000,0.000,0.000,0.000,0.500,12.600,0.000,LANDED
1776375866.292,0.000,0.000,0.078,0.000,0.000,0.700,12.599,0.000,TAKEOFF
1776375866.722,0.000,0.000,1.914,0.000,0.000,0.900,12.594,0.000,HOVER
1776375867.155,0.000,0.000,6.041,0.000,0.000,0.900,12.590,0.000,HOVER
1776375867.590,0.000,0.000,12.282,0.000,0.000,0.900,12.585,0.000,HOVER
1776375868.026,0.000,0.000,20.474,0.000,0.000,0.900,12.580,0.000,HOVER
1776375868.458,0.000,0.000,30.464,0.000,0.000,0.900,12.576,0.000,HOVER
1776375868.894,0.000,0.000,42.113,0.000,0.000,0.900,12.571,0.000,HOVER
1776375869.326,0.000,0.000,52.986,0.000,0.000,0.300,12.569,0.000,HOVER
1776375869.760,0.000,0.000,61.799,0.000,0.000,0.300,12.568,0.000,HOVER
