time,x,y,z,roll,pitch,thrust,voltage,yaw,state
1775850466.358,1.320,-1.656,56.280,-0.136,-0.584,0.550,12.484,0.000,TAKEOFF
1775850466.684,1.070,-1.806,57.696,0.043,-0.598,0.550,12.482,0.000,TAKEOFF
1775850467.014,0.788,-1.873,59.116,0.218,-0.559,0.550,12.480,0.000,TAKEOFF
1775850467.339,0.498,-1.852,60.539,0.373,-0.470,0.550,12.478,0.000,TAKEOFF
1775850467.665,0.225,-1.744,61.964,0.496,-0.338,0.550,12.476,0.000,TAKEOFF
1775850467.991,-0.006,-1.561,63.392,0.573,-0.177,0.550,12.473,0.000,TAKEOFF
1775850468.317,-0.174,-1.322,64.823,0.600,0.001,0.550,12.471,0.000,TAKEOFF
1775850468.644,-0.262,-1.045,66.255,0.573,0.178,0.550,12.469,0.000,TAKEOFF
1775850468.970,-0.261,-0.755,67.690,0.495,0.339,0.550,12.467,0.000,TAKEOFF
1775850469.297,-0.173,-0.476,69.127,0.373,0.470,0.550,12.465,0.000,TAKEOFF
1775850469.624,-0.007,-0.233,70.566,0.217,0.559,0.550,12.463,0.000,TAKEOFF
1775850469.953,0.222,-0.048,72.007,0.042,0.599,0.550,12.461,0.000,TAKEOFF
1775850470.280,0.492,0.060,73.450,-0.137,0.584,0.550,12.458,0.000,TAKEOFF
1775850470.608,0.781,0.080,74.894,-0.303,0.518,0.550,12.456,0.000,TAKEOFF
1775850470.932,1.065,0.012,76.340,-0.443,0.405,0.550,12.454,0.000,TAKEOFF
1775850471.257,1.318,-0.137,77.787,-0.543,0.256,0.550,12.452,0.000,TAKEOFF
1775850471.584,1.519,-0.352,79.235,-0.594,0.084,0.550,12.450,0.000,TAKEOFF
1775850471.911,1.646,-0.614,80.685,-0.592,-0.095,0.550,12.448,0.000,TAKEOFF
1775850472.240,1.687,-0.901,82.136,-0.538,-0.266,0.550,12.446,0.000,TAKEOFF
1775850472.566,1.640,-1.188,83.588,-0.435,-0.413,0.550,12.443,0.000,TAKEOFF
1775850472.893,1.509,-1.452,85.041,-0.294,-0.523,0.550,12.441,0.000,TAKEOFF
1775850473.215,1.307,-1.666,86.495,-0.126,-0.587,0.550,12.439,0.000,TAKEOFF
1775850473.539,1.054,-1.812,87.950,0.053,-0.598,0.550,12.437,0.000,TAKEOFF
1775850473.867,0.771,-1.875,89.406,0.227,-0.555,0.550,12.435,0.000,TAKEOFF
1775850474.194,0.482,-1.848,90.862,0.381,-0.463,0.550,12.433,0.000,TAKEOFF
1775850474.520,0.211,-1.736,92.320,0.501,-0.330,0.550,12.431,0.000,TAKEOFF
1775850474.847,-0.017,-1.549,93.778,0.576,-0.167,0.550,12.428,0.000,TAKEOFF
1775850475.176,-0.181,-1.307,95.237,0.600,0.011,0.550,12.426,0.000,TAKEOFF
1775850475.504,-0.264,-1.029,96.697,0.570,0.187,0.550,12.424,0.000,TAKEOFF
1775850475.829,-0.258,-0.739,98.157,0.489,0.347,0.550,12.422,0.000,TAKEOFF
1775850476.156,-0.165,-0.461,99.618,0.365,0.477,0.550,12.420,0.000,TAKEOFF
1775850476.485,0.005,-0.220,101.079,0.207,0.563,0.550,12.418,0.000,TAKEOFF
1775850476.809,0.236,-0.040,102.541,0.032,0.599,0.550,12.416,0.000,TAKEOFF
1775850477.137,0.508,0.063,104.003,-0.147,0.582,0.550,12.413,0.000,TAKEOFF
1775850477.461,0.797,0.079,105.466,-0.312,0.512,0.550,12.411,0.000,TAKEOFF
1775850477.786,1.080,0.006,106.929,-0.450,0.397,0.550,12.409,0.000,TAKEOFF
1775850478.116,1.331,-0.148,108.393,-0.547,0.247,0.550,12.407,0.000,TAKEOFF
1775850478.445,1.528,-0.366,109.857,-0.595,0.074,0.550,12.405,0.000,TAKEOFF
1775850478.771,1.650,-0.630,111.321,-0.591,-0.105,0.550,12.403,0.000,TAKEOFF
1775850479.099,1.687,-0.917,112.786,-0.533,-0.275,0.550,12.401,0.000,TAKEOFF
1775850479.426,1.634,-1.204,114.251,-0.428,-0.420,0.550,12.398,0.000,TAKEOFF
1775850479.754,1.499,-1.465,115.716,-0.285,-0.528,0.550,12.396,0.000,TAKEOFF
1775850480.081,1.294,-1.677,117.181,-0.116,-0.589,0.550,12.394,0.000,TAKEOFF
1775850480.410,1.039,-1.818,118.647,0.063,-0.597,0.550,12.392,0.000,TAKEOFF
1775850480.737,0.755,-1.875,120.113,0.237,-0.551,0.550,12.390,0.000,TAKEOFF
1775850481.063,0.466,-1.844,121.580,0.389,-0.457,0.550,12.388,0.000,TAKEOFF
1775850481.390,0.197,-1.727,123.046,0.507,-0.321,0.550,12.386,0.000,TAKEOFF
1775850481.716,-0.028,-1.537,124.513,0.579,-0.157,0.550,12.383,0.000,TAKEOFF
1775850482.039,-0.188,-1.292,125.980,0.600,0.021,0.550,12.381,0.000,TAKEOFF
1775850482.362,-0.266,-1.013,127.447,0.567,0.197,0.550,12.379,0.000,TAKEOFF
1775850482.690,-0.255,-0.723,128.914,0.483,0.356,0.550,12.377,0.000,TAKEOFF
1775850483.015,-0.158,-0.446,130.381,0.357,0.483,0.550,12.375,0.000,TAKEOFF
1775850483.341,0.016,-0.209,131.849,0.198,0.566,0.550,12.373,0.000,TAKEOFF
1775850483.667,0.250,-0.032,133.317,0.022,0.600,0.550,12.370,0.000,TAKEOFF
1775850483.993,0.524,0.066,134.784,-0.156,0.579,0.550,12.368,0.000,TAKEOFF
1775850484.320,0.813,0.077,136.252,-0.321,0.507,0.550,12.366,0.000,TAKEOFF
1775850484.647,1.095,-0.001,137.721,-0.456,0.390,0.550,12.364,0.000,TAKEOFF
1775850484.972,1.344,-0.158,139.189,-0.551,0.238,0.550,12.362,0.000,TAKEOFF
1775850485.296,1.537,-0.380,140.657,-0.597,0.064,0.550,12.360,0.000,TAKEOFF
1775850485.623,1.655,-0.646,142.125,-0.589,-0.115,0.550,12.358,0.000,TAKEOFF
1775850485.950,1.686,-0.934,143.594,-0.529,-0.284,0.550,12.355,0.000,TAKEOFF
1775850486.276,1.629,-1.220,145.063,-0.421,-0.427,0.550,12.353,0.000,TAKEOFF
1775850486.603,1.489,-1.479,146.531,-0.276,-0.533,0.550,12.351,0.000,TAKEOFF
1775850486.929,1.281,-1.687,148.000,-0.106,-0.591,0.550,12.349,0.000,TAKEOFF
1775850487.255,1.024,-1.824,149.469,0.073,-0.596,0.550,12.347,0.000,TAKEOFF
1775850487.583,0.739,-1.876,150.938,0.246,-0.547,0.550,12.345,0.000,TAKEOFF
1775850487.909,0.450,-1.839,152.407,0.397,-0.450,0.550,12.343,0.000,TAKEOFF
1775850488.234,0.183,-1.718,153.876,0.512,-0.313,0.550,12.340,0.000,TAKEOFF
1775850488.560,-0.039,-1.525,155.345,0.582,-0.148,0.550,12.338,0.000,TAKEOFF
1775850488.887,-0.195,-1.277,156.814,0.599,0.031,0.550,12.336,0.000,TAKEOFF
1775850489.214,-0.268,-0.996,158.283,0.563,0.206,0.550,12.334,0.000,TAKEOFF
1775850489.538,-0.252,-0.706,159.752,0.477,0.364,0.550,12.332,0.000,TAKEOFF
1775850489.863,-0.150,-0.432,161.222,0.348,0.489,0.550,12.330,0.000,TAKEOFF
1775850490.189,0.028,-0.197,162.691,0.188,0.570,0.550,12.328,0.000,TAKEOFF
1775850490.515,0.265,-0.024,164.160,0.012,0.600,0.550,12.325,0.000,TAKEOFF
1775850490.841,0.540,0.069,165.630,-0.166,0.577,0.550,12.323,0.000,TAKEOFF
1775850491.170,0.829,0.075,167.099,-0.329,0.502,0.550,12.321,0.000,TAKEOFF
1775850491.498,1.110,-0.008,168.569,-0.463,0.382,0.550,12.319,0.000,TAKEOFF
1775850491.826,1.357,-0.169,170.038,-0.555,0.228,0.550,12.317,0.000,TAKEOFF
1775850492.152,1.546,-0.394,171.508,-0.598,0.054,0.550,12.315,0.000,TAKEOFF
1775850492.479,1.659,-0.661,172.977,-0.587,-0.125,0.550,12.313,0.000,TAKEOFF
1775850492.804,1.685,-0.950,174.447,-0.524,-0.293,0.550,12.310,0.000,TAKEOFF
1775850493.131,1.623,-1.235,175.916,-0.414,-0.434,0.550,12.308,0.000,TAKEOFF
1775850493.456,1.479,-1.492,177.386,-0.267,-0.537,0.550,12.306,0.000,TAKEOFF
1775850493.782,1.268,-1.696,178.856,-0.096,-0.592,0.550,12.304,0.000,TAKEOFF
1775850494.111,1.008,-1.829,180.325,0.083,-0.594,0.550,12.302,0.000,TAKEOFF
1775850494.452,0.723,-1.876,181.795,0.255,-0.543,0.550,12.300,0.000,TAKEOFF
1775850494.778,0.434,-1.835,183.265,0.404,-0.444,0.550,12.298,0.000,TAKEOFF
1775850495.104,0.169,-1.709,184.734,0.517,-0.304,0.550,12.295,0.000,TAKEOFF
1775850495.432,-0.050,-1.512,186.204,0.584,-0.138,0.550,12.293,0.000,TAKEOFF
1775850495.758,-0.201,-1.262,187.674,0.599,0.041,0.550,12.291,0.000,TAKEOFF
1775850496.086,-0.269,-0.980,189.144,0.560,0.216,0.550,12.289,0.000,TAKEOFF
1775850496.415,-0.248,-0.690,190.613,0.471,0.372,0.550,12.287,0.000,TAKEOFF
1775850496.740,-0.142,-0.417,192.083,0.340,0.494,0.550,12.285,0.000,TAKEOFF
1775850497.067,0.040,-0.185,193.553,0.179,0.573,0.550,12.283,0.000,TAKEOFF
1775850497.393,0.279,-0.017,195.023,0.002,0.600,0.550,12.280,0.000,TAKEOFF
1775850497.721,0.556,0.072,196.493,-0.176,0.574,0.550,12.278,0.000,TAKEOFF
1775850498.047,0.846,0.072,197.963,-0.337,0.496,0.550,12.276,0.000,TAKEOFF
1775850498.374,1.125,-0.015,199.432,-0.469,0.374,0.550,12.274,0.000,TAKEOFF
1775850498.701,1.369,-0.180,200.902,-0.559,0.219,0.550,12.272,0.000,TAKEOFF
1775850499.030,1.554,-0.408,202.372,-0.598,0.044,0.550,12.270,0.000,TAKEOFF
1775850499.359,1.663,-0.677,203.842,-0.585,-0.135,0.550,12.268,0.000,TAKEOFF
1775850499.685,1.684,-0.966,205.312,-0.519,-0.302,0.550,12.265,0.000,TAKEOFF
1775850500.013,1.617,-1.250,206.782,-0.406,-0.441,0.550,12.263,0.000,TAKEOFF
1775850500.340,1.469,-1.505,208.252,-0.258,-0.542,0.550,12.261,0.000,TAKEOFF
1775850500.667,1.254,-1.706,209.722,-0.086,-0.594,0.550,12.259,0.000,TAKEOFF
1775850500.992,0.993,-1.834,211.191,0.093,-0.593,0.550,12.257,0.000,TAKEOFF
